"","BuyerID","Mileage","AVGSalePrice","MMR","LIGHTG","LIGHTY","LIGHTR","PSI","Arbitrated","Salvage","OVE","Simulcast","InLane","PSIEligible","Autocheck_score","ConditionReport","DSEligible","Returned","CarAge","NumDistSeller","NumVisit","AVGPriceBuyerMonth","NumDaysBWBuys","NumPurchaseBuyer_Z","NumPurchaseBuyer_P3","NumPurchaseBuyer_SPQ","NumPurchaseBuyer_LOCAL","NumPurchaseBuyer_GAM","NumPurchaseBuyer_SQRT","NumPurchaseBuyer_SQ","NumPurchaseBuyer_LOG","DayOfWeekFriday","DayOfWeekMonday","DayOfWeekSaturday","DayOfWeekSunday","DayOfWeekThursday","DayOfWeekTuesday","DayOfWeekWednesday","SellingLocationAAA","SellingLocationAAAI","SellingLocationAAAW","SellingLocationALBA","SellingLocationALOH","SellingLocationAREN","SellingLocationAYCA","SellingLocationBAA","SellingLocationBCAA","SellingLocationBIGH","SellingLocationBWAE","SellingLocationCAAI","SellingLocationCADE","SellingLocationCINA","SellingLocationDAA","SellingLocationDAAE","SellingLocationDADE","SellingLocationDALA","SellingLocationDETA","SellingLocationDFWA","SellingLocationFAA","SellingLocationFAAO","SellingLocationFADA","SellingLocationGCAA","SellingLocationGOAA","SellingLocationHAA","SellingLocationHATA","SellingLocationINDY","SellingLocationJAX","SellingLocationKCAA","SellingLocationKEYA","SellingLocationLAA","SellingLocationLMAA","SellingLocationLOUA","SellingLocationMAA","SellingLocationMAAI","SellingLocationMISS","SellingLocationMMAA","SellingLocationNAA","SellingLocationNADE","SellingLocationNASH","SellingLocationNOAA","SellingLocationNSAA","SellingLocationNVAA","SellingLocationNWE","SellingLocationOAA","SellingLocationOMAA","SellingLocationPAA","SellingLocationPCAA","SellingLocationPXAA","SellingLocationRAA","SellingLocationRSAA","SellingLocationSAAA","SellingLocationSCAA","SellingLocationSDAA","SellingLocationSKYA","SellingLocationSLAA","SellingLocationSONB","SellingLocationSPAA","SellingLocationSSAA","SellingLocationSVAA","SellingLocationSWFL","SellingLocationTBAA","SellingLocationTCAA","SellingLocationTHAA","SellingLocationUAA","SellingLocationWPBA","CarMakeACURA","CarMakeAEROLITE","CarMakeAIRSTREAM","CarMakeALFA.ROMEO","CarMakeALJO","CarMakeALUMA","CarMakeAM.GENERAL","CarMakeAMERICAN.IRONHORSE","CarMakeAMERIMAX","CarMakeARCTIC.CAT","CarMakeASTON.MARTIN","CarMakeAUDI","CarMakeBAJA","CarMakeBASHAN","CarMakeBENTLEY","CarMakeBIG.DOG","CarMakeBITTER39","CarMakeBMW","CarMakeBUELL","CarMakeBUICK","CarMakeCADILLAC","CarMakeCAN.AM","CarMakeCARI.LITE","CarMakeCHEVROLET","CarMakeCHRYSLER","CarMakeCOACHMEN","CarMakeCOBRA","CarMakeCOUNTRY.COACH","CarMakeCROSSROA","CarMakeCRUISER","CarMakeCUSTOM","CarMakeDAEWOO","CarMakeDAMON","CarMakeDELOREAN","CarMakeDEMON","CarMakeDODGE","CarMakeDOLITTLE","CarMakeDUCATI","CarMakeDUTCHMEN","CarMakeDYNAMAX","CarMakeEAGLE","CarMakeECLIPSE","CarMakeEL.DORADO","CarMakeESSEX","CarMakeEXCEL","CarMakeFC.COMMER","CarMakeFERRARI","CarMakeFIAT","CarMakeFISKER","CarMakeFLEETWOOD","CarMakeFORD","CarMakeFORESTRIVER","CarMakeFOUR.WINDS","CarMakeFREEDOM","CarMakeFREIGHTLINER","CarMakeFURO","CarMakeGATOR","CarMakeGEMCAR","CarMakeGEO","CarMakeGEORGIE.BOY","CarMakeGMC","CarMakeGREAT.DANE","CarMakeGULFSTREAM","CarMakeHARLEY.DAVIDSON","CarMakeHAWK","CarMakeHEARTLAND","CarMakeHINMT","CarMakeHINO","CarMakeHOLIDAY.RAMBLER","CarMakeHONDA","CarMakeHUDSON","CarMakeHUMMER","CarMakeHYOSUNG","CarMakeHYUNDAI","CarMakeINFINITI","CarMakeINTERNATIONAL","CarMakeISUZU","CarMakeITACSA","CarMakeJAGUAR","CarMakeJAYCO","CarMakeJEEP","CarMakeJOHN.DEERE","CarMakeJOYNER","CarMakeKARAVAN","CarMakeKAUFMAN","CarMakeKAWASAKI","CarMakeKENWORTH","CarMakeKEYSTONE","CarMakeKIA","CarMakeKINGOFTHER","CarMakeKIT","CarMakeKWICK.LD","CarMakeKZ","CarMakeLAMAR","CarMakeLAMBORGHINI","CarMakeLAND.ROVER","CarMakeLEXUS","CarMakeLINCOLN","CarMakeLOTUS","CarMakeLUMBIA","CarMakeMASERATI","CarMakeMAYBACH","CarMakeMAZDA","CarMakeMCI","CarMakeMERCEDES.BENZ","CarMakeMERCURY","CarMakeMILLER.BUI","CarMakeMINI","CarMakeMITSUBISHI","CarMakeMONACO","CarMakeMONTEREY","CarMakeMULTI","CarMakeNEWHORIZON","CarMakeNISSAN","CarMakeNTERNAT","CarMakeNU.WAY","CarMakeNUVAN","CarMakeOLDSMOBILE","CarMakeOPEN.RANGE","CarMakeORANGEBLO","CarMakeOSHKOSH","CarMakeOT.HARLEY","CarMakeOYAL","CarMakePACE.AMERCIAN","CarMakePANOZ","CarMakePETERBILT","CarMakePGMFG","CarMakePINES","CarMakePIONEER","CarMakePLEASURE.WAY","CarMakePLYMOUTH","CarMakePOLARIS","CarMakePONTIAC","CarMakePORSCHE","CarMakePRESTIGE","CarMakeRAM","CarMakeRENEGADE","CarMakeRIVERSIDE","CarMakeROLLS.ROYCE","CarMakeROYAL.ENT","CarMakeSAAB","CarMakeSAFARI","CarMakeSATURN","CarMakeSCION","CarMakeSETRA","CarMakeSMART","CarMakeSPENCER.BOWMAN","CarMakeSTERLING","CarMakeSUBARU","CarMakeSUNNYBROOK","CarMakeSUZUKI","CarMakeTAO.TAO","CarMakeTERRY","CarMakeTHOR","CarMakeTIFFIN","CarMakeTITAN","CarMakeTOYOTA","CarMakeTRAILER","CarMakeTRAILMASTER","CarMakeTRANSHAUL","CarMakeTRAVEL.SUPREME","CarMakeUNITED.SPC","CarMakeUNKNOWN","CarMakeUTILITY.T","CarMakeVICTORY","CarMakeVIKING","CarMakeVOLKSWAGEN","CarMakeVOLVO","CarMakeWABASH.NATIONAL","CarMakeWINNEBAGO","CarMakeWORK.HORSE","CarMakeXKYMCO","CarMakeXMILES","CarMakeXSCOTER","CarMakeXWCCXX","CarMakeXZNEN","CarMakeYAMAHA","JDPowersCatCOMPACT.CAR","JDPowersCatEXCLUDED","JDPowersCatFULLSIZE.CAR","JDPowersCatLUXURY.CAR","JDPowersCatMIDSIZE.CAR","JDPowersCatPICKUP","JDPowersCatSPORTS.CAR","JDPowersCatSUV","JDPowersCatUNDEFINED","JDPowersCatVAN","Risky"
"1",329,165867,2600,3375,0,0,1,0,1,0,0,0,1,0,0.77777779,29,1,0,11,1,1,2600,0,0.244617242,0.269577425,0.330756737,0.341719907,0.261347326,0.273270165,0.255271004,0.41100914,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2",376,97171.125,8568.75,10396.875,0.25,0,0.75,0.25,0.25,0.125,0,0.5,0.5,0.25,0.75912934875,29.875,0.875,NA,10,8,8,8568.75,0.375,0.244409227,0.26859769,0.3270981,0.332191829,0.260676117,0.268742419,0.254823306,0.341004839,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0.125,0,0,0.25,0,0.125,0.5,0,0,0,1
"3",724,140567.111111111,5833.33333333333,4950,0.333333333333333,0.111111111111111,0.555555555555556,0,0,0,0,0,1,0.222222222222222,0.466891144444444,28.7777777777778,1,NA,9,9,9,5833.333333,-0.777777777777778,0.244379511,0.268458147,0.326523712,0.330880938,0.26058023,0.268317552,0.254759406,0.337039679,0,0,0,0,0.444444444444444,0.555555555555556,0,0,0,0,0,0,0,0,0,0,0.555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0.222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222222222,0,0,0,0,0,0,0.222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0.333333333333333,0,0.555555555555556,0,0,0
"4",945,147932,3000,2900,0,0,1,0,0,1,0,0,1,0,1.3157895,18,0,0,11,1,1,3000,0,0.244617242,0.269577425,0.330756737,0.341719907,0.261347326,0.273270165,0.255271004,0.41100914,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"5",1187,99481.8571428571,4728.57142857143,4607.14285714286,0,0,1,0,0.142857142857143,0,0,0,1,0,0.579335602857143,28.2857142857143,1,NA,12.2857142857143,7,7,4728.571429,0,0.244438944,0.268737338,0.327659996,0.333517172,0.260772004,0.26919478,0.254887221,0.345500167,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0.142857142857143,0,0,0,0,0,0,0,0,0,0.142857142857143,0,0,0.571428571428571,0,0,0,0.142857142857143,0,0.142857142857143,1
"6",1279,158512.5,6066.66666666667,4912.5,0.5,0.166666666666667,0.333333333333333,0,0.166666666666667,0,0,0,1,0.333333333333333,1.06862304333333,30.3333333333333,0.833333333333333,NA,9,6,6,6066.6666665,0,0.24446866,0.26887709,0.328209181,0.334856024,0.260867891,0.269680784,0.254951149,0.350689643,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0.666666666666667,0,0.166666666666667,0,0,1
"7",1564,40869,16000,16300,1,0,0,0,0,0,0,0,1,1,1,42,1,0,2,1,1,16000,0,0.244617242,0.269577425,0.330756737,0.341719907,0.261347326,0.273270165,0.255271004,0.41100914,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"8",1752,187670.666666667,1850,2000,0,0,1,0,0,0,0,0,1,0,0.569841273333333,29.6666666666667,1,NA,13,3,3,1850,0,0.24455781,0.269296977,0.329778268,0.338944201,0.261155552,0.271457383,0.25514302,0.37402441,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"9",1754,94590.4,15580,13290,0.4,0,0.6,0,0.4,0.4,0,0,1,0.4,1.01106718,26.4,0.6,NA,7.8,5,5,15580,-4.2,0.244498377,0.269016948,0.328745435,0.336207441,0.260963778,0.270209282,0.255015092,0.356827489,0,0,0,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0.2,0,0.4,0,0,1
"10",1938,97532,7881.25,8143.75,0.25,0,0.75,0.25,0.125,0.25,0,0,1,0.25,1.076911725,21.625,0.75,NA,10.5,8,8,7881.25,-2,0.244409227,0.26859769,0.3270981,0.332191829,0.260676117,0.268742419,0.254823306,0.341004839,0,0,0,0,0.875,0.125,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
